328 : 328 | Magnitude: 24765.005859375 | Phase_angle: 27.656672213621402
329 : 329 | Magnitude: 24755.849609375 | Phase_angle: 27.897315146006584
330 : 43521 | Magnitude: 24728.443359375 | Phase_angle: 28.149968966047233
331 : 331 | Magnitude: 24755.849609375 | Phase_angle: 28.39005865310964
332 : 332 | Magnitude: 24765.005859375 | Phase_angle: 28.607782885734846
333 : 333 | Magnitude: 24755.849609375 | Phase_angle: 28.848424110572736
334 : 334 | Magnitude: 24755.849609375 | Phase_angle: 29.066150050745232
335 : 335 | Magnitude: 24755.849609375 | Phase_angle: 29.306791275583123
336 : 336 | Magnitude: 24755.849609375 | Phase_angle: 29.54743250042101
337 : 337 | Magnitude: 24755.849609375 | Phase_angle: 29.788077140353487
338 : 338 | Magnitude: 24755.849609375 | Phase_angle: 30.028718365191374
339 : 339 | Magnitude: 24737.5390625 | Phase_angle: 30.257901947696567
340 : 340 | Magnitude: 24755.849609375 | Phase_angle: 30.48708553020176
341 : 341 | Magnitude: 24755.849609375 | Phase_angle: 30.72772675503965
342 : 342 | Magnitude: 24755.849609375 | Phase_angle: 30.95691033754484
343 : 343 | Magnitude: 24737.5390625 | Phase_angle: 31.209012619810014
344 : 43521 | Magnitude: 24701.048828125 | Phase_angle: 31.48464831886046
345 : 345 | Magnitude: 24737.5390625 | Phase_angle: 31.66737636972581
346 : 346 | Magnitude: 24737.5390625 | Phase_angle: 31.896559952231005
347 : 347 | Magnitude: 24737.5390625 | Phase_angle: 32.137201177068896
348 : 348 | Magnitude: 24737.5390625 | Phase_angle: 32.36638475957409
349 : 349 | Magnitude: 24737.5390625 | Phase_angle: 32.607029399506565
350 : 350 | Magnitude: 24737.5390625 | Phase_angle: 32.84767062434445
351 : 351 | Magnitude: 24737.5390625 | Phase_angle: 33.08831184918234
352 : 43521 | Magnitude: 24737.5390625 | Phase_angle: 33.328956489114816
353 : 43521 | Magnitude: 24737.5390625 | Phase_angle: 33.569611374331046
354 : 354 | Magnitude: 24737.5390625 | Phase_angle: 33.78732023903061
355 : 43521 | Magnitude: 24744.78125 | Phase_angle: 34.944426001417064
356 : 356 | Magnitude: 24737.5390625 | Phase_angle: 34.245687404041
357 : 357 | Magnitude: 24737.5390625 | Phase_angle: 34.486328628878894
358 : 43521 | Magnitude: 24736.35546875 | Phase_angle: 34.50926098901721
359 : 359 | Magnitude: 24737.5390625 | Phase_angle: 34.956153436221975
360 : 360 | Magnitude: 24737.5390625 | Phase_angle: 35.18533701872717
361 : 361 | Magnitude: 24737.5390625 | Phase_angle: 35.41452060123236
362 : 362 | Magnitude: 24728.384765625 | Phase_angle: 35.64943471245119
363 : 43521 | Magnitude: 24710.107421875 | Phase_angle: 35.89034914485588
364 : 364 | Magnitude: 24728.384765625 | Phase_angle: 36.107801877461576
365 : 365 | Magnitude: 24728.384765625 | Phase_angle: 36.33698204487219
